760,25,06/11/2009
860,50,28/09/2012
1200,100,25/10/2005
1420,50,09/07/2009
1940,70,25/01/2013
1960,40,29/10/2013
2620,30,09/03/2006
3050,50,12/04/2007
3120,150,08/11/2006
3260,45,20/10/2010
3510,35,04/05/2013
3970,30,07/06/2007
4000,20,25/11/2005
4180,20,22/09/2010
4390,30,15/04/2011
4750,60,02/12/2013
4840,30,14/10/2005
4910,15,13/12/2006
4950,50,19/05/2010
4970,30,01/12/2006
5250,50,20/12/2005
5480,100,06/06/2014
5990,30,17/03/2006
6240,100,09/11/2006
6390,15,25/10/2005
6570,30,10/11/2012
6600,50,23/09/2005
6690,20,10/03/2010
6690,15,04/11/2010
6690,15,10/12/2013
6710,80,03/05/2013
6940,30,31/12/2013
7000,10,05/04/2013
7210,40,28/10/2009
7450,25,23/05/2008
7560,40,31/12/2008
7660,30,03/06/2006
7660,50,28/03/2013
7730,150,22/10/2010
7740,100,09/08/2007
7790,20,04/07/2014
8060,30,12/04/2007
8240,30,07/06/2007
8190,20,09/12/2006
8200,20,13/07/2011
8550,30,17/10/2006
8560,100,02/10/2009
8590,25,03/06/2012
8620,60,14/06/2008
8720,50,23/08/2005
8950,30,20/12/2011
9010,15,25/10/2005
9230,30,30/10/2013
9250,25,02/08/2005
9300,30,17/12/2011
9720,35,01/06/2011
9740,60,31/12/2006
9830,30,31/12/2008
9980,100,14/09/2011
10150,50,08/07/2011
10210,30,31/10/2006
10250,30,14/04/2007
10310,30,17/12/2005
10550,30,31/12/2006
10580,15,19/11/2011
10600,60,07/12/2012
10630,10,20/11/2008
10670,150,27/07/2007
10700,15,08/03/2006
10720,20,27/06/2013
10770,50,04/11/2009
10870,25,02/08/2005
10950,10,19/06/2007
11000,30,18/04/2008
11070,25,26/07/2005
11070,30,29/04/2006
11130,30,26/08/2009
11370,100,10/04/2009
11440,30,17/07/2008
11660,50,19/12/2007
11740,30,29/06/2011
11830,30,21/12/2007
11830,30,17/12/2011
11890,40,24/07/2009
11990,30,30/11/2007
12060,20,14/10/2005
12200,30,26/11/2010
12480,100,09/10/2008
12520,100,07/12/2012
12660,50,31/12/2013
12670,180,16/11/2005
12840,200,27/02/2007
13140,30,29/10/2005
13190,30,20/05/2009
13240,15,23/11/2005
13260,50,18/05/2010
13360,70,21/10/2012
13390,25,29/12/2005
13420,30,31/12/2008
13590,60,23/12/2009
13600,10,23/11/2012
13670,50,18/12/2008
13820,100,05/09/2007
13880,1500,31/12/2012
13890,30,27/04/2011
